server,problem_type,date
server_2,no_problem,1/18/2020
server_1,no_problem,1/1/2020
server_0,no_problem,1/10/2020
server_4,no_problem,1/21/2020
server_4,no_problem,1/24/2020
server_4,no_problem,1/5/2020
server_4,no_problem,1/6/2020
server_2,no_problem,1/20/2020
server_2,problem_2,1/23/2020
server_0,no_problem,1/2/2020
server_3,no_problem,1/11/2020
server_0,no_problem,1/1/2020
server_3,no_problem,1/1/2020
server_4,no_problem,1/21/2020
server_0,no_problem,1/17/2020
server_0,problem_2,1/28/2020
server_2,no_problem,1/23/2020
server_4,no_problem,1/16/2020
server_4,no_problem,1/15/2020
server_4,no_problem,1/16/2020
server_3,problem_2,1/12/2020
server_1,no_problem,1/20/2020
server_0,no_problem,1/29/2020
server_0,no_problem,1/21/2020
server_0,no_problem,1/10/2020
server_0,no_problem,1/22/2020
server_1,no_problem,1/29/2020
server_2,no_problem,1/5/2020
server_4,no_problem,1/22/2020
server_0,no_problem,1/2/2020
server_4,no_problem,1/28/2020
server_0,no_problem,1/23/2020
server_3,no_problem,1/8/2020
server_4,no_problem,1/10/2020
server_0,no_problem,1/8/2020
server_1,no_problem,1/14/2020
server_1,no_problem,1/9/2020
server_4,no_problem,1/4/2020
server_4,no_problem,1/17/2020
server_0,no_problem,1/25/2020
server_3,no_problem,1/4/2020
server_4,no_problem,1/20/2020
server_0,problem_1,1/28/2020
server_2,no_problem,1/18/2020
server_3,no_problem,1/3/2020
server_4,no_problem,1/1/2020
server_1,no_problem,1/22/2020
server_3,no_problem,1/28/2020
server_1,no_problem,1/25/2020
server_3,no_problem,1/12/2020
server_1,no_problem,1/13/2020
server_3,no_problem,1/9/2020
server_3,no_problem,1/16/2020
server_1,no_problem,1/30/2020
server_3,no_problem,1/17/2020
server_2,no_problem,1/4/2020
server_0,no_problem,1/16/2020
server_0,no_problem,1/4/2020
server_3,no_problem,1/22/2020
server_1,no_problem,1/28/2020
server_3,no_problem,1/3/2020
server_3,no_problem,1/30/2020
server_1,no_problem,1/10/2020
server_3,no_problem,1/29/2020
server_2,no_problem,1/19/2020
server_3,no_problem,1/13/2020
server_2,no_problem,1/24/2020
server_0,no_problem,1/17/2020
server_0,problem_1,1/19/2020
server_2,no_problem,1/30/2020
server_4,no_problem,1/20/2020
server_2,no_problem,1/1/2020
server_1,no_problem,1/24/2020
server_1,no_problem,1/4/2020
server_3,no_problem,1/19/2020
server_1,no_problem,1/17/2020
server_1,no_problem,1/15/2020
server_0,no_problem,1/1/2020
server_3,no_problem,1/2/2020
server_2,no_problem,1/10/2020
server_1,no_problem,1/15/2020
server_4,no_problem,1/11/2020
server_2,no_problem,1/25/2020
server_3,no_problem,1/26/2020
server_4,no_problem,1/5/2020
server_1,no_problem,1/25/2020
server_0,no_problem,1/13/2020
server_1,no_problem,1/18/2020
server_4,no_problem,1/24/2020
server_3,no_problem,1/29/2020
server_0,no_problem,1/14/2020
server_3,no_problem,1/22/2020
server_1,no_problem,1/3/2020
server_0,no_problem,1/8/2020
server_3,no_problem,1/4/2020
server_2,no_problem,1/17/2020
server_2,no_problem,1/30/2020
server_3,no_problem,1/5/2020
server_0,no_problem,1/3/2020
server_3,no_problem,1/29/2020
server_4,no_problem,1/4/2020
server_4,problem_1,1/10/2020
server_2,problem_0,1/21/2020
server_4,no_problem,1/28/2020
server_0,no_problem,1/24/2020
server_1,no_problem,1/10/2020
server_0,no_problem,1/20/2020
server_4,no_problem,1/22/2020
server_4,no_problem,1/10/2020
server_0,no_problem,1/4/2020
server_1,no_problem,1/6/2020
server_0,no_problem,1/21/2020
server_0,no_problem,1/17/2020
server_3,no_problem,1/2/2020
server_4,no_problem,1/27/2020
server_0,no_problem,1/4/2020
server_0,no_problem,1/5/2020
server_0,no_problem,1/15/2020
server_1,no_problem,1/11/2020
server_4,no_problem,1/20/2020
server_0,no_problem,1/26/2020
server_3,no_problem,1/12/2020
server_0,no_problem,1/11/2020
server_3,no_problem,1/6/2020
server_4,no_problem,1/9/2020
server_4,no_problem,1/19/2020
server_1,no_problem,1/3/2020
server_4,no_problem,1/20/2020
server_2,no_problem,1/7/2020
server_2,no_problem,1/25/2020
server_0,no_problem,1/9/2020
server_4,problem_1,1/28/2020
server_2,no_problem,1/7/2020
server_2,no_problem,1/18/2020
server_1,no_problem,1/11/2020
server_2,problem_0,1/8/2020
server_1,no_problem,1/24/2020
server_0,no_problem,1/23/2020
server_4,no_problem,1/29/2020
server_3,no_problem,1/29/2020
server_1,no_problem,1/22/2020
server_2,no_problem,1/1/2020
server_2,no_problem,1/18/2020
server_3,no_problem,1/16/2020
server_2,no_problem,1/19/2020
server_0,no_problem,1/26/2020
server_2,no_problem,1/26/2020
server_2,no_problem,1/27/2020
server_0,no_problem,1/4/2020
server_0,no_problem,1/7/2020
server_4,no_problem,1/6/2020
server_4,no_problem,1/16/2020
server_4,no_problem,1/14/2020
server_3,no_problem,1/8/2020
server_1,no_problem,1/23/2020
server_2,no_problem,1/27/2020
server_2,no_problem,1/6/2020
server_3,no_problem,1/30/2020
server_4,no_problem,1/19/2020
server_2,no_problem,1/21/2020
server_0,no_problem,1/2/2020
server_0,no_problem,1/27/2020
server_1,no_problem,1/14/2020
server_3,no_problem,1/4/2020
server_4,no_problem,1/10/2020
server_1,no_problem,1/7/2020
server_3,no_problem,1/26/2020
server_1,no_problem,1/28/2020
server_4,no_problem,1/29/2020
server_4,problem_0,1/15/2020
server_0,no_problem,1/2/2020
server_2,problem_0,1/26/2020
server_2,no_problem,1/5/2020
server_2,no_problem,1/25/2020
server_2,no_problem,1/25/2020
server_1,no_problem,1/4/2020
server_3,no_problem,1/17/2020
server_4,no_problem,1/1/2020
server_3,problem_2,1/24/2020
server_1,no_problem,1/16/2020
server_2,no_problem,1/20/2020
server_2,problem_1,1/23/2020
server_1,no_problem,1/8/2020
server_2,no_problem,1/10/2020
server_2,no_problem,1/3/2020
server_0,no_problem,1/4/2020
server_2,no_problem,1/11/2020
server_2,no_problem,1/6/2020
server_2,no_problem,1/6/2020
server_2,no_problem,1/15/2020
server_0,no_problem,1/16/2020
server_2,problem_1,1/12/2020
server_0,no_problem,1/28/2020
server_0,no_problem,1/23/2020
server_3,no_problem,1/19/2020
server_2,no_problem,1/23/2020
server_1,no_problem,1/1/2020
server_1,no_problem,1/2/2020
server_2,no_problem,1/4/2020
server_0,problem_2,1/23/2020
server_3,no_problem,1/24/2020
server_4,no_problem,1/27/2020
server_3,no_problem,1/26/2020
server_1,no_problem,1/27/2020
server_2,no_problem,1/30/2020
server_2,no_problem,1/13/2020
server_4,no_problem,1/9/2020
server_4,no_problem,1/21/2020
server_4,no_problem,1/11/2020
server_2,no_problem,1/10/2020
server_1,no_problem,1/9/2020
server_1,no_problem,1/21/2020
server_4,no_problem,1/20/2020
server_0,no_problem,1/24/2020
server_3,no_problem,1/20/2020
server_3,no_problem,1/25/2020
server_2,no_problem,1/25/2020
server_0,no_problem,1/25/2020
server_4,no_problem,1/25/2020
server_3,no_problem,1/26/2020
server_3,no_problem,1/16/2020
server_0,problem_0,1/26/2020
server_0,no_problem,1/28/2020
server_4,no_problem,1/5/2020
server_2,no_problem,1/23/2020
server_1,no_problem,1/1/2020
server_1,no_problem,1/3/2020
server_4,no_problem,1/18/2020
server_3,no_problem,1/21/2020
server_1,no_problem,1/7/2020
server_2,problem_2,1/26/2020
server_4,no_problem,1/12/2020
server_3,no_problem,1/20/2020
server_3,no_problem,1/20/2020
server_3,no_problem,1/4/2020
server_2,problem_1,1/10/2020
server_3,no_problem,1/18/2020
server_1,no_problem,1/1/2020
server_2,no_problem,1/16/2020
server_4,no_problem,1/1/2020
server_2,no_problem,1/21/2020
server_4,no_problem,1/24/2020
server_0,no_problem,1/25/2020
server_0,no_problem,1/16/2020
server_4,no_problem,1/6/2020
server_2,no_problem,1/17/2020
server_3,problem_1,1/19/2020
server_0,problem_1,1/1/2020
server_0,no_problem,1/16/2020
server_3,no_problem,1/22/2020
server_3,no_problem,1/16/2020
server_2,no_problem,1/13/2020
server_0,no_problem,1/10/2020
server_3,problem_1,1/23/2020
server_0,no_problem,1/4/2020
server_2,no_problem,1/12/2020
server_3,no_problem,1/8/2020
server_1,no_problem,1/11/2020
server_1,no_problem,1/16/2020
server_3,no_problem,1/6/2020
server_2,no_problem,1/12/2020
server_3,no_problem,1/6/2020
server_3,no_problem,1/1/2020
server_3,no_problem,1/30/2020
server_1,no_problem,1/8/2020
server_0,no_problem,1/14/2020
server_1,no_problem,1/20/2020
server_2,no_problem,1/16/2020
server_0,no_problem,1/3/2020
server_0,no_problem,1/7/2020
server_3,no_problem,1/3/2020
server_3,no_problem,1/5/2020
server_3,no_problem,1/28/2020
server_1,no_problem,1/23/2020
server_4,no_problem,1/29/2020
server_0,no_problem,1/21/2020
server_2,no_problem,1/5/2020
server_3,no_problem,1/27/2020
server_1,problem_2,1/1/2020
server_0,no_problem,1/25/2020
server_1,no_problem,1/1/2020
server_4,no_problem,1/14/2020
server_1,no_problem,1/1/2020
server_2,no_problem,1/7/2020
server_2,no_problem,1/23/2020
server_1,no_problem,1/12/2020
server_1,no_problem,1/27/2020
server_4,no_problem,1/22/2020
server_4,no_problem,1/1/2020
server_2,no_problem,1/26/2020
server_0,no_problem,1/21/2020
server_0,no_problem,1/30/2020
server_0,no_problem,1/14/2020
server_3,no_problem,1/2/2020
server_3,no_problem,1/5/2020
server_0,no_problem,1/6/2020
server_4,no_problem,1/3/2020
server_2,no_problem,1/2/2020
server_1,no_problem,1/1/2020
server_2,no_problem,1/23/2020
server_1,no_problem,1/2/2020
server_3,no_problem,1/23/2020
server_1,no_problem,1/20/2020
server_0,problem_0,1/6/2020
server_4,no_problem,1/12/2020
server_0,no_problem,1/22/2020
server_4,no_problem,1/17/2020
server_2,no_problem,1/11/2020
server_4,problem_1,1/13/2020
server_0,no_problem,1/19/2020
server_1,no_problem,1/28/2020
server_0,no_problem,1/28/2020
server_2,no_problem,1/29/2020
server_3,no_problem,1/9/2020
server_2,no_problem,1/24/2020
server_3,no_problem,1/12/2020
server_3,no_problem,1/4/2020
server_4,no_problem,1/26/2020
server_3,no_problem,1/22/2020
server_0,no_problem,1/15/2020
server_2,no_problem,1/21/2020
server_1,no_problem,1/27/2020
server_2,no_problem,1/11/2020
server_4,problem_1,1/12/2020
server_3,no_problem,1/29/2020
server_2,no_problem,1/16/2020
server_0,no_problem,1/29/2020
server_1,no_problem,1/20/2020
server_1,no_problem,1/19/2020
server_1,no_problem,1/8/2020
server_3,no_problem,1/27/2020
server_2,no_problem,1/13/2020
server_1,no_problem,1/21/2020
server_0,no_problem,1/13/2020
server_4,no_problem,1/24/2020
server_4,no_problem,1/14/2020
server_0,no_problem,1/9/2020
server_4,no_problem,1/15/2020
server_4,no_problem,1/1/2020
server_2,no_problem,1/21/2020
server_0,no_problem,1/11/2020
server_0,no_problem,1/13/2020
server_3,no_problem,1/28/2020
server_3,no_problem,1/22/2020
server_1,no_problem,1/10/2020
server_3,no_problem,1/25/2020
server_2,no_problem,1/21/2020
server_4,no_problem,1/27/2020
server_4,no_problem,1/3/2020
server_0,no_problem,1/28/2020
server_4,no_problem,1/25/2020
server_1,no_problem,1/14/2020
server_1,no_problem,1/20/2020
server_1,no_problem,1/23/2020
server_2,problem_1,1/3/2020
server_1,no_problem,1/14/2020
server_3,no_problem,1/4/2020
server_3,no_problem,1/8/2020
server_3,no_problem,1/25/2020
server_4,no_problem,1/25/2020
server_0,no_problem,1/17/2020
server_1,no_problem,1/2/2020
server_1,no_problem,1/22/2020
server_2,no_problem,1/24/2020
server_0,no_problem,1/17/2020
server_4,no_problem,1/4/2020
server_1,no_problem,1/26/2020
server_2,no_problem,1/5/2020
server_2,no_problem,1/2/2020
server_4,no_problem,1/30/2020
server_3,no_problem,1/29/2020
server_1,no_problem,1/15/2020
server_0,no_problem,1/18/2020
server_1,no_problem,1/26/2020
server_3,problem_0,1/18/2020
server_1,no_problem,1/30/2020
server_2,no_problem,1/13/2020
server_3,no_problem,1/30/2020
server_4,no_problem,1/5/2020
server_1,no_problem,1/18/2020
server_0,no_problem,1/4/2020
server_4,no_problem,1/26/2020
server_3,no_problem,1/28/2020
server_2,no_problem,1/30/2020
server_1,no_problem,1/29/2020
server_3,no_problem,1/15/2020
server_2,no_problem,1/21/2020
server_0,no_problem,1/9/2020
server_1,no_problem,1/27/2020
server_1,no_problem,1/22/2020
server_1,no_problem,1/14/2020
server_3,no_problem,1/8/2020
server_1,no_problem,1/6/2020
server_3,no_problem,1/10/2020
server_1,no_problem,1/18/2020
server_3,no_problem,1/29/2020
server_3,no_problem,1/19/2020
server_4,no_problem,1/10/2020
server_2,no_problem,1/28/2020
server_0,no_problem,1/7/2020
server_2,no_problem,1/21/2020
server_2,no_problem,1/13/2020
server_4,no_problem,1/20/2020
server_0,problem_1,1/8/2020
server_2,no_problem,1/10/2020
server_0,no_problem,1/13/2020
server_1,no_problem,1/20/2020
server_2,no_problem,1/4/2020
server_3,no_problem,1/3/2020
server_1,problem_0,1/20/2020
server_1,problem_0,1/6/2020
server_1,no_problem,1/22/2020
server_1,no_problem,1/12/2020
server_1,no_problem,1/19/2020
server_3,no_problem,1/25/2020
server_3,no_problem,1/15/2020
server_3,no_problem,1/16/2020
server_4,no_problem,1/29/2020
server_3,no_problem,1/16/2020
server_3,no_problem,1/5/2020
server_2,no_problem,1/15/2020
server_2,problem_0,1/11/2020
server_0,no_problem,1/1/2020
server_3,no_problem,1/5/2020
server_1,no_problem,1/20/2020
server_2,no_problem,1/17/2020
server_3,no_problem,1/30/2020
server_1,no_problem,1/19/2020
server_1,no_problem,1/9/2020
server_1,no_problem,1/18/2020
server_3,no_problem,1/23/2020
server_4,no_problem,1/15/2020
server_3,no_problem,1/23/2020
server_1,no_problem,1/1/2020
server_0,no_problem,1/4/2020
server_2,no_problem,1/11/2020
server_0,no_problem,1/29/2020
server_4,no_problem,1/19/2020
server_2,no_problem,1/16/2020
server_4,no_problem,1/14/2020
server_0,no_problem,1/22/2020
server_1,no_problem,1/13/2020
server_4,no_problem,1/10/2020
server_1,no_problem,1/29/2020
server_4,no_problem,1/22/2020
server_4,no_problem,1/17/2020
server_0,no_problem,1/29/2020
server_3,no_problem,1/12/2020
server_3,no_problem,1/11/2020
server_4,no_problem,1/3/2020
server_0,no_problem,1/5/2020
server_0,no_problem,1/8/2020
server_3,no_problem,1/3/2020
server_1,no_problem,1/19/2020
server_4,no_problem,1/21/2020
server_0,no_problem,1/15/2020
server_4,no_problem,1/19/2020
server_1,no_problem,1/8/2020
server_2,problem_0,1/25/2020
server_4,no_problem,1/12/2020
server_4,no_problem,1/28/2020
server_1,no_problem,1/24/2020
server_2,no_problem,1/25/2020
server_3,no_problem,1/2/2020
server_2,no_problem,1/26/2020
server_3,no_problem,1/28/2020
server_4,no_problem,1/7/2020
server_1,no_problem,1/24/2020
server_3,no_problem,1/13/2020
server_1,problem_1,1/27/2020
server_4,no_problem,1/13/2020
server_0,no_problem,1/22/2020
server_3,no_problem,1/8/2020
server_1,no_problem,1/2/2020
server_0,no_problem,1/15/2020
server_4,no_problem,1/10/2020
server_3,no_problem,1/10/2020
server_3,no_problem,1/30/2020
server_4,problem_1,1/28/2020
server_1,no_problem,1/14/2020
server_0,no_problem,1/1/2020
server_4,no_problem,1/10/2020
server_1,no_problem,1/26/2020
server_3,no_problem,1/22/2020
server_2,no_problem,1/4/2020
server_0,no_problem,1/28/2020
server_2,no_problem,1/5/2020
server_3,no_problem,1/20/2020
server_4,no_problem,1/5/2020
server_4,no_problem,1/2/2020
server_2,no_problem,1/4/2020
server_2,problem_1,1/11/2020
server_3,no_problem,1/12/2020
server_1,no_problem,1/13/2020
server_2,problem_2,1/18/2020
server_1,problem_1,1/17/2020
server_2,no_problem,1/3/2020
server_3,no_problem,1/18/2020
server_2,no_problem,1/21/2020
server_3,no_problem,1/28/2020
server_0,no_problem,1/6/2020
server_2,no_problem,1/24/2020
server_1,no_problem,1/18/2020
server_4,no_problem,1/2/2020
server_4,no_problem,1/22/2020
server_2,no_problem,1/22/2020
server_3,problem_2,1/20/2020
server_1,no_problem,1/8/2020
server_3,no_problem,1/27/2020
server_4,no_problem,1/20/2020
server_2,no_problem,1/10/2020
server_0,no_problem,1/23/2020
server_1,no_problem,1/16/2020
server_2,no_problem,1/14/2020
server_1,no_problem,1/19/2020
server_1,no_problem,1/16/2020
server_2,no_problem,1/17/2020
server_1,no_problem,1/30/2020
server_4,problem_0,1/26/2020
server_3,no_problem,1/4/2020
server_3,no_problem,1/13/2020
server_0,no_problem,1/11/2020
server_2,no_problem,1/5/2020
server_0,problem_1,1/10/2020
server_0,no_problem,1/1/2020
server_4,no_problem,1/3/2020
server_2,no_problem,1/6/2020
server_3,no_problem,1/15/2020
server_2,no_problem,1/14/2020
server_2,no_problem,1/30/2020
server_3,no_problem,1/17/2020
server_3,no_problem,1/12/2020
server_2,no_problem,1/21/2020
server_0,no_problem,1/12/2020
server_3,no_problem,1/18/2020
server_0,no_problem,1/23/2020
server_1,no_problem,1/26/2020
server_2,problem_2,1/17/2020
server_2,no_problem,1/1/2020
server_2,no_problem,1/4/2020
server_3,no_problem,1/21/2020
server_2,no_problem,1/11/2020
server_1,no_problem,1/23/2020
server_4,no_problem,1/8/2020
server_1,no_problem,1/13/2020
server_2,no_problem,1/30/2020
server_4,no_problem,1/1/2020
server_3,no_problem,1/22/2020
server_3,problem_1,1/22/2020
server_0,no_problem,1/22/2020
server_0,no_problem,1/5/2020
server_4,no_problem,1/10/2020
server_3,no_problem,1/19/2020
server_4,problem_1,1/27/2020
server_4,no_problem,1/11/2020
server_3,no_problem,1/6/2020
server_2,no_problem,1/19/2020
server_2,no_problem,1/30/2020
server_1,no_problem,1/12/2020
server_4,no_problem,1/30/2020
server_0,no_problem,1/6/2020
server_3,no_problem,1/21/2020
server_3,no_problem,1/5/2020
server_2,no_problem,1/21/2020
server_1,no_problem,1/2/2020
server_2,no_problem,1/25/2020
server_2,no_problem,1/24/2020
server_0,no_problem,1/10/2020
server_3,no_problem,1/13/2020
server_3,problem_1,1/14/2020
server_4,no_problem,1/2/2020
server_4,no_problem,1/22/2020
server_2,no_problem,1/12/2020
server_1,no_problem,1/15/2020
server_3,no_problem,1/26/2020
server_4,no_problem,1/27/2020
server_4,no_problem,1/17/2020
server_2,no_problem,1/10/2020
server_0,problem_2,1/10/2020
server_3,no_problem,1/4/2020
server_3,no_problem,1/19/2020
server_1,no_problem,1/21/2020
server_3,no_problem,1/6/2020
server_1,no_problem,1/27/2020
server_1,no_problem,1/18/2020
server_1,no_problem,1/4/2020
server_2,no_problem,1/14/2020
server_2,no_problem,1/26/2020
server_4,no_problem,1/7/2020
server_3,no_problem,1/28/2020
server_0,no_problem,1/29/2020
server_3,no_problem,1/29/2020
server_1,no_problem,1/8/2020
server_1,no_problem,1/15/2020
server_2,no_problem,1/20/2020
server_0,no_problem,1/2/2020
server_3,no_problem,1/9/2020
server_1,no_problem,1/6/2020
server_1,no_problem,1/27/2020
server_0,no_problem,1/1/2020
server_1,no_problem,1/9/2020
server_4,no_problem,1/8/2020
server_4,no_problem,1/30/2020
server_2,no_problem,1/25/2020
server_3,no_problem,1/27/2020
server_4,no_problem,1/13/2020
server_0,no_problem,1/2/2020
server_1,no_problem,1/30/2020
server_2,no_problem,1/14/2020
server_4,no_problem,1/5/2020
server_2,no_problem,1/17/2020
server_4,no_problem,1/19/2020
server_1,no_problem,1/17/2020
server_2,no_problem,1/16/2020
server_3,no_problem,1/1/2020
server_2,no_problem,1/24/2020
server_4,no_problem,1/16/2020
server_2,no_problem,1/24/2020
server_3,no_problem,1/23/2020
server_2,no_problem,1/26/2020
server_1,no_problem,1/7/2020
server_2,no_problem,1/14/2020
server_3,no_problem,1/28/2020
server_2,no_problem,1/26/2020
server_4,no_problem,1/9/2020
server_0,no_problem,1/4/2020
server_0,no_problem,1/21/2020
server_1,no_problem,1/7/2020
server_1,no_problem,1/22/2020
server_1,no_problem,1/19/2020
server_2,no_problem,1/12/2020
server_1,no_problem,1/16/2020
server_1,no_problem,1/15/2020
server_2,no_problem,1/24/2020
server_1,problem_2,1/25/2020
server_2,no_problem,1/14/2020
server_4,no_problem,1/20/2020
server_1,no_problem,1/25/2020
server_4,no_problem,1/28/2020
server_2,no_problem,1/5/2020
server_4,no_problem,1/27/2020
server_3,no_problem,1/19/2020
server_0,no_problem,1/13/2020
server_0,no_problem,1/18/2020
server_1,no_problem,1/12/2020
server_1,no_problem,1/2/2020
server_0,no_problem,1/12/2020
server_1,no_problem,1/28/2020
server_2,no_problem,1/21/2020
server_3,no_problem,1/18/2020
server_1,no_problem,1/4/2020
server_3,no_problem,1/26/2020
server_4,no_problem,1/14/2020
server_3,no_problem,1/8/2020
server_4,no_problem,1/3/2020
server_3,no_problem,1/6/2020
server_0,problem_2,1/16/2020
server_4,no_problem,1/6/2020
server_4,no_problem,1/5/2020
server_3,no_problem,1/29/2020
server_4,no_problem,1/16/2020
server_2,no_problem,1/28/2020
server_2,no_problem,1/17/2020
server_2,no_problem,1/13/2020
server_1,no_problem,1/21/2020
server_3,no_problem,1/18/2020
server_2,no_problem,1/16/2020
server_3,no_problem,1/30/2020
server_0,no_problem,1/28/2020
server_4,no_problem,1/8/2020
server_3,no_problem,1/26/2020
server_3,no_problem,1/20/2020
server_2,no_problem,1/21/2020
server_0,no_problem,1/16/2020
server_1,no_problem,1/30/2020
server_3,no_problem,1/17/2020
server_3,no_problem,1/4/2020
server_2,no_problem,1/22/2020
server_0,no_problem,1/12/2020
server_3,no_problem,1/3/2020
server_0,no_problem,1/14/2020
server_4,no_problem,1/24/2020
server_4,no_problem,1/28/2020
server_3,no_problem,1/14/2020
server_2,no_problem,1/28/2020
server_4,no_problem,1/17/2020
server_3,no_problem,1/4/2020
server_0,problem_1,1/28/2020
server_1,no_problem,1/29/2020
server_3,no_problem,1/13/2020
server_2,problem_2,1/9/2020
server_3,no_problem,1/26/2020
server_3,no_problem,1/30/2020
server_2,no_problem,1/2/2020
server_1,no_problem,1/9/2020
server_0,no_problem,1/29/2020
server_4,no_problem,1/12/2020
server_0,no_problem,1/13/2020
server_1,no_problem,1/30/2020
server_1,no_problem,1/4/2020
server_4,no_problem,1/21/2020
server_3,no_problem,1/4/2020
server_3,no_problem,1/30/2020
server_3,no_problem,1/2/2020
server_3,no_problem,1/4/2020
server_4,no_problem,1/9/2020
server_4,no_problem,1/13/2020
server_3,no_problem,1/24/2020
server_2,no_problem,1/24/2020
server_3,no_problem,1/19/2020
server_3,no_problem,1/27/2020
server_4,no_problem,1/2/2020
server_0,no_problem,1/8/2020
server_0,no_problem,1/25/2020
server_3,no_problem,1/14/2020
server_4,no_problem,1/22/2020
server_0,no_problem,1/6/2020
server_2,no_problem,1/26/2020
server_1,no_problem,1/17/2020
server_0,no_problem,1/3/2020
server_0,no_problem,1/19/2020
server_3,no_problem,1/23/2020
server_4,no_problem,1/17/2020
server_1,no_problem,1/11/2020
server_0,no_problem,1/5/2020
server_1,no_problem,1/8/2020
server_4,no_problem,1/23/2020
server_0,no_problem,1/5/2020
server_1,no_problem,1/1/2020
server_1,no_problem,1/30/2020
server_3,no_problem,1/1/2020
server_3,no_problem,1/7/2020
server_0,no_problem,1/8/2020
server_4,no_problem,1/18/2020
server_1,no_problem,1/3/2020
